track_name,track_artist,track_popularity,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,danceability,energy,tempo,liveness
fuck 3x,tha Supreme,79,23 6451,2019-11-15,rap,trap,0.655,0.814,180.082,0.107
Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,74,Re Mida (Aurum),2019-10-03,rap,trap,0.795,0.634,97.512,0.0874
SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,78,Persona,2019-10-31,rap,trap,0.656,0.661,140.956,0.125
Bossoli,Shiva,74,Bossoli,2019-09-05,rap,trap,0.825,0.655,145.045,0.138
C'est La Vie,TY1,70,C'est La Vie,2019-11-08,rap,trap,0.735,0.798,106.006,0.0978
ANSIA NO,FSK SATELLITE,76,FSK TRAPSHIT REVENGE,2019-12-05,rap,trap,0.823,0.678,160.133,0.218
blun7 a swishland,tha Supreme,78,blun7 a swishland,2019-11-08,rap,trap,0.692,0.792,129.883,0.255
GANG (feat. Geolier),Samurai Jay,72,GANG,2019-09-16,rap,trap,0.803,0.456,95.013,0.212
Holly & Benji (feat. Capo Plaza & Shiva),AVA,74,Holly & Benji (feat. Capo Plaza & Shiva),2019-12-13,rap,trap,0.42,0.787,78.44,0.107
Twerk (con Boro Boro),MamboLosco,73,Arte,2019-09-11,rap,trap,0.906,0.525,96.005,0.0859
Non sto più in zona,Shiva,69,Non sto più in zona,2019-10-03,rap,trap,0.86,0.711,105.027,0.14
Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,76,Pookie (feat. Capo Plaza) [Remix],2019-08-30,rap,trap,0.84,0.62,98.076,0.0988
SCACCIACANI - prod. Crookers & Nic Sarno,Ketama126,68,SCACCIACANI (prod. Crookers & Nic Sarno),2019-05-24,rap,trap,0.651,0.649,133.971,0.128
NIENTE,Giaime,63,NIENTE,2020-01-09,rap,trap,0.762,0.697,91.984,0.0999
Ho Fatto Strada,Capo Plaza,70,Ho Fatto Strada,2019-11-22,rap,trap,0.681,0.635,160.027,0.119
Cometa (feat. Dosseh),Izi,67,Cometa (feat. Dosseh),2019-12-12,rap,trap,0.643,0.694,129.054,0.236
Glock (feat. DrefGold & Giaime),Dark Polo Gang,67,Glock,2019-11-26,rap,trap,0.914,0.619,100.995,0.105
LOVE BANDANA,Ketama126,70,KETY,2019-10-18,rap,trap,0.623,0.76,155.015,0.119
Candy,VillaBanks,70,Non Lo So,2019-09-30,rap,trap,0.95,0.594,103.012,0.0955
MI AMI O NO (feat. Capo Plaza),Giaime,70,MI AMI O NO (feat. Capo Plaza),2019-09-05,rap,trap,0.718,0.776,91.158,0.144
occh1 purpl3 - feat. Marracash,tha Supreme,74,23 6451,2019-11-15,rap,trap,0.66,0.809,133.922,0.16
Mwaka Moon - Remix,Kalash,62,Mwaka Moon (Remix),2018-05-18,rap,trap,0.768,0.556,155.07,0.107
Bandito,Enzo Dong,66,Dio perdona io no,2019-10-25,rap,trap,0.793,0.762,132.097,0.128
Mc Drive (feat. Shiva),MamboLosco,64,Arte,2019-09-11,rap,trap,0.81,0.603,136.003,0.295
Tutto apposto (feat. Capo Plaza),Philip,63,Tutto apposto (feat. Capo Plaza),2019-09-27,rap,trap,0.7,0.616,140,0.174
FIORI,Giaime,70,FIORI,2019-07-18,rap,trap,0.85,0.567,99.99,0.115
"pers0na2 - feat. Gemitaiz, Madman",tha Supreme,70,23 6451,2019-11-15,rap,trap,0.682,0.79,122.99,0.115
Rip RMX (feat. Shiva),Side Baby,65,Arturo,2019-06-19,rap,trap,0.719,0.528,171.937,0.122
CAPI DELLA TRAP (feat. Guè Pequeno),FSK SATELLITE,68,FSK TRAPSHIT REVENGE,2019-12-05,rap,trap,0.799,0.603,75.989,0.214
Toradol,Gemitaiz,64,QVC8 – Singles,2018-12-28,rap,trap,0.701,0.623,158.891,0.498
Porto Cervo,Lazza,61,Porto Cervo,2018-07-13,rap,trap,0.855,0.666,100.006,0.0885
48H (feat. Sfera Ebbasta),Izi,68,Aletheia,2019-05-10,rap,trap,0.755,0.502,149.919,0.105
Tuta Black,Paky,69,Tuta Black,2019-11-20,rap,trap,0.835,0.606,129.932,0.097
no14 - feat. Dani Faiv,tha Supreme,72,23 6451,2019-11-15,rap,trap,0.621,0.694,90.059,0.155
MAI (feat. Lele Blade & Fred De Palma),Giaime,63,MAI (feat. Lele Blade & Fred De Palma),2019-11-08,rap,trap,0.758,0.804,100.003,0.169
NO SPIE,FSK SATELLITE,68,FSK TRAPSHIT,2019-07-11,rap,trap,0.893,0.511,100.015,0.0747
Fuori E Dentro (feat. tha Supreme),Gemitaiz,71,Scatola Nera,2019-09-19,rap,trap,0.919,0.582,123.947,0.118
Mea Muri Tu (feat. MV Killa & Yung Snapp),Vale Lambo,45,Mea Muri Tu (feat. MV Killa & Yung Snapp),2020-01-16,rap,trap,0.701,0.685,112.041,0.786
Limousine,Enzo Dong,62,Limousine,2019-10-09,rap,trap,0.667,0.766,74.776,0.127
Guarda Come Flexo 2,MamboLosco,22,Guarda Come Flexo 2,2018-09-07,rap,trap,0.843,0.528,140.05,0.0617
Follia Del Mattino,Vegas Jones,64,La Bella Musica,2019-11-08,rap,trap,0.55,0.686,159.929,0.176
Stamm Fort (feat. Sfera Ebbasta),Luche,1,Stamm Fort,2019-01-18,rap,trap,0.78,0.521,160.087,0.0967
Esagono (feat. Salmo),Gemitaiz,67,Scatola Nera,2019-09-19,rap,trap,0.827,0.738,137.956,0.0257
Bassotto,Dark Polo Gang,63,Bassotto,2019-10-24,rap,trap,0.862,0.545,149.972,0.0482
American Pie,Xamã,66,O Iluminado,2019-12-12,rap,trap,0.583,0.468,130.002,0.1
Mitsubishi,Orochi,69,Mitsubishi,2019-11-22,rap,trap,0.751,0.57,110.02,0.101
Love And Choppa,NGC Daddy,67,Love And Choppa,2019-08-04,rap,trap,0.897,0.513,130.077,0.072
Avião,MC Caverinha,68,Avião,2019-12-06,rap,trap,0.879,0.418,100.018,0.107
Na Onda,Orochi,67,Na Onda,2019-11-05,rap,trap,0.44,0.454,86.488,0.0895
Primeiro Milhão,Hungria Hip Hop,68,Primeiro Milhão,2019-11-22,rap,trap,0.817,0.516,130.043,0.153
Kenny G,Matuê,79,Kenny G,2019-09-04,rap,trap,0.417,0.767,72.573,0.113
Kallidade,Kalli,69,Kallidade,2019-07-11,rap,trap,0.783,0.483,100.036,0.185
Não Me Sinto Mal Mais,Sidoka,73,Não Me Sinto Mal Mais,2019-10-18,rap,trap,0.814,0.665,126.027,0.108
Com a Mala,Costa Gold,61,Com a Mala,2019-12-20,rap,trap,0.879,0.78,136.84,0.265
Porsche,Jovem Dex,65,Porsche,2019-10-31,rap,trap,0.843,0.437,123.959,0.0837
Acende o Isqueiro,Orochi,71,Acende o Isqueiro,2019-06-14,rap,trap,0.48,0.565,112.988,0.096
Bailão,Meno Tody,65,Bailão,2019-07-29,rap,trap,0.784,0.572,147.046,0.102
Surtada,Neo Beats,68,Surtada,2019-02-21,rap,trap,0.764,0.468,77.044,0.252
Hortelã,JayA Luuck,60,Hortelã,2019-12-22,rap,trap,0.76,0.595,140.046,0.316
Marginais Trap #1,Marginal Supply,63,Marginais Trap #1,2019-12-03,rap,trap,0.913,0.612,129.953,0.234
Bad Bad Bad,Kalli,57,Bad Bad Bad,2019-11-01,rap,trap,0.906,0.447,120.978,0.118
Jordan,Kawe,60,Jordan,2019-12-13,rap,trap,0.749,0.631,129.953,0.196
Flash,MC Caverinha,68,Flash,2019-09-09,rap,trap,0.913,0.366,125.035,0.148
Mantém,WIU,71,Mantém,2019-10-09,rap,trap,0.754,0.765,129.983,0.113
Multiplica,Meno Tody,59,Multiplica,2019-12-09,rap,trap,0.767,0.551,83.037,0.118
Tango,Jovem Dex,64,Tango,2019-08-14,rap,trap,0.72,0.685,127.122,0.148
Irmão DQbrada!,Costa Gold,69,Irmão Dqbrada!,2019-08-30,rap,trap,0.896,0.758,133.93,0.101
Dababy,Dfideliz,57,Dababy,2019-11-08,rap,trap,0.901,0.795,149.98,0.0933
Flutuo,Leozin,61,Flutuo,2019-10-18,rap,trap,0.731,0.554,75.987,0.134
Brisadão Na Dela,Xang,58,Brisadão Na Dela,2019-08-15,rap,trap,0.835,0.523,115.055,0.118
Malvadão 2,Xamã,63,Malvadão 2,2019-09-13,rap,trap,0.881,0.595,130.019,0.112
Sessão do Descarrego,Filipe Ret,67,Sessão do Descarrego,2019-06-12,rap,trap,0.778,0.681,121.047,0.111
Baby Hair,Recayd Mob,60,Baby Hair,2019-11-22,rap,trap,0.824,0.846,132.948,0.128
Jovem Tralha,Felp 22,59,Jovem Tralha,2019-09-05,rap,trap,0.736,0.699,135.924,0.124
Um Pedido,Hungria Hip Hop,72,Um Pedido,2019-06-07,rap,trap,0.813,0.57,139.996,0.0987
Olha Pro Oclin,Sidoka,67,Doka Language,2019-07-11,rap,trap,0.901,0.484,130.02,0.198
Fácil,Krawk,55,Fácil,2019-08-16,rap,trap,0.877,0.42,135.017,0.163
Tipo uma Glock,Jovem Dex,61,Tipo uma Glock,2019-09-10,rap,trap,0.875,0.559,140.02,0.161
Balão,Orochi,45,Balão,2019-03-25,rap,trap,0.534,0.571,116.654,0.181
Pipe,MC Igu,56,Pipe,2019-11-15,rap,trap,0.97,0.178,125.017,0.107
Novo Drip,Recayd Mob,55,Novo Drip,2019-07-19,rap,trap,0.945,0.252,130.031,0.101
30 Bandido!,Costa Gold,62,30 Bandido!,2019-07-26,rap,trap,0.9,0.781,135.025,0.0513
Petalaz,Sidoka,61,Petalaz,2019-08-27,rap,trap,0.844,0.62,133.958,0.116
Cabelinho Disfarçado,Bonde R300,51,Cabelinho Disfarçado,2019-04-14,rap,trap,0.905,0.598,132.086,0.108
Tipo Gta,MC Caverinha,62,Tipo Gta,2019-05-18,rap,trap,0.828,0.412,130.034,0.0883
7,Sidoka,60,Elevate,2018-12-28,rap,trap,0.68,0.876,127.267,0.128
Rockstar,Jovem Dex,64,Rockstar,2019-05-24,rap,trap,0.687,0.644,141.018,0.0875
Jogo Virou,Cacife Clandestino,58,Trilogia Contravenção,2019-05-10,rap,trap,0.66,0.649,134.894,0.0721
Banco,Matuê,70,Banco,2019-01-16,rap,trap,0.662,0.715,165.879,0.0916
Sucesso Na Vida,Choice,50,Sucesso Na Vida,2019-06-19,rap,trap,0.715,0.567,131.95,0.0902
Plaqtudum,Recayd Mob,67,Plaqtudum,2018-09-19,rap,trap,0.89,0.74,122.023,0.118
Nicole Bahls,MC Igu,59,Nicole Bahls,2018-12-31,rap,trap,0.85,0.718,130.053,0.283
Sommelier,Sidoka,62,Sommelier,2019-03-20,rap,trap,0.777,0.739,134.918,0.103
Luxúria,Xamã,70,Pecado Capital,2018-05-24,rap,trap,0.737,0.564,140.075,0.0985
Rock N' Roll,Dfideliz,56,Rock N' Roll,2018-12-14,rap,trap,0.866,0.422,132.031,0.112
Chega de Falar de Ice,Leozin,21,Chega de Falar de Ice,2019-01-25,rap,trap,0.609,0.464,129.824,0.104
10K,Raffa Moreira,57,10K,2018-07-17,rap,trap,0.824,0.427,148.008,0.0915
Kylie Jenner,Derek,54,Kylie Jenner,2019-04-05,rap,trap,0.869,0.666,140.018,0.356
Money,Jovem Dex,64,Money,2019-02-20,rap,trap,0.796,0.805,103.995,0.0787
Espanha,Sidoka,60,Doka Language,2019-07-11,rap,trap,0.921,0.645,114.931,0.109
"Obrigado, Mãe.",Dfideliz,61,"Obrigado, Mãe.",2019-02-15,rap,trap,0.772,0.554,109.982,0.146
Preto Rico,Dfideliz,60,Preto Rico,2018-10-05,rap,trap,0.905,0.387,116.988,0.115
Anos Luz,Matuê,5,Anos Luz,2017-11-28,rap,trap,0.634,0.498,109.817,0.115
Scotch,Sidoka,60,Elevate,2018-12-28,rap,trap,0.629,0.667,129.954,0.102
Pinky Ring - Remix,Miky Woodz,66,Pinky Ring (Remix),2019-12-27,rap,trap,0.911,0.562,138.98,0.343
Gan-Ga - Remix,Bryant Myers,79,Gan-Ga (Remix),2019-11-15,rap,trap,0.861,0.572,90.052,0.0853
¿Quien Tu Eres?,Bad Bunny,71,X 100PRE,2018-12-23,rap,trap,0.727,0.58,137.048,0.125
2020,KEVVO,56,2020,2020-01-01,rap,trap,0.701,0.465,102.02,0.664
Si Me Gano Un Grammy,Jon Z,73,Si Me Gano Un Grammy,2019-11-16,rap,trap,0.812,0.63,99.739,0.11
Patek,Ozuna,75,Nibiru,2019-11-29,rap,trap,0.839,0.554,139.952,0.0923
Subiendo De Nivel,Jhay Cortez,58,Famouz,2019-05-24,rap,trap,0.659,0.56,163.057,0.0975
Canam,Farruko,64,Canam,2019-12-20,rap,trap,0.742,0.745,151.932,0.38
Cereza,Fuego,69,Cereza,2019-11-08,rap,trap,0.769,0.596,146.028,0.127
Subimos de Rango,Omy de Oro,64,Subimos de Rango,2019-08-21,rap,trap,0.809,0.653,129.798,0.106
FEKA,De La Ghetto,61,FEKA,2019-10-24,rap,trap,0.897,0.607,139.982,0.363
La Playa - Remix,Myke Towers,79,La Playa (Remix),2020-01-03,rap,trap,0.775,0.633,140.008,0.219
Suave - Remix,Jey Blessing,70,Suave (Remix),2019-11-07,rap,trap,0.673,0.694,175.912,0.118
Champagne Rose,Amenazzy,61,Champagne Rose,2019-11-22,rap,trap,0.654,0.733,140.005,0.0751
5 Stars (feat. Polima Westcoast),C. Tangana,68,5 Stars (feat. Polima Westcoast),2019-11-20,rap,trap,0.801,0.723,123.994,0.106
No Me Ronke (with Miky Woodz & Jon Z),Jay Menez,55,No Me Ronke (with Miky Woodz & Jon Z),2019-12-12,rap,trap,0.847,0.763,119.957,0.163
Disimulas,Alex Rose,57,LOST,2019-11-08,rap,trap,0.783,0.72,119.996,0.0881
Memoria Rota,Arcangel,69,Memoria Rota,2019-10-25,rap,trap,0.637,0.656,139.964,0.469
El Final,J Alvarez,46,"La Fama Que Camina, Vol. 2",2019-11-08,rap,trap,0.866,0.719,128.037,0.236
Días Lluviosos (with Lenny Tavarez),Juhn,69,Días Lluviosos (with Lenny Tavarez),2019-12-07,rap,trap,0.813,0.571,139.969,0.166
No Le Baje (Como en los Viejos Tiempos),Miky Woodz,59,No Le Baje (Como en los Viejos Tiempos),2019-11-12,rap,trap,0.766,0.691,137.957,0.116
Velitas,Darell,80,Velitas,2019-07-12,rap,trap,0.819,0.596,165.951,0.138
Demasiado Tarde,Micro Tdh,74,Demasiado Tarde,2019-11-11,rap,trap,0.823,0.556,129.985,0.3
Lalu,Omy de Oro,53,Lalu,2019-11-21,rap,trap,0.802,0.548,145.059,0.218
"Tengo 30 (feat. Duki, Cazzu, Neo Pistea & Tali Goya)",Khea,71,"Tengo 30 (feat. Duki, Cazzu, Neo Pistea & Tali Goya)",2019-09-27,rap,trap,0.803,0.533,129.96,0.391
YO LE LLEGO,J Balvin,74,OASIS,2019-06-28,rap,trap,0.785,0.792,155.036,0.104
Vamos Pa' Encimota,D.OZI,53,Vamos Pa' Encimota,2019-12-06,rap,trap,0.771,0.758,159.951,0.205
Tú No Amas,Mambo Kingz,73,Tú No Amas,2019-06-19,rap,trap,0.803,0.589,140.057,0.634
Por Contarle Los Secretos,Jon Z,67,Por Contarle Los Secretos,2019-11-27,rap,trap,0.772,0.765,143.979,0.107
Te Di Primero,Mathew,43,Te Di Primero,2019-12-05,rap,trap,0.759,0.51,145.024,0.126
Salgo a Buscarte,Jon Z,63,Salgo a Buscarte,2019-10-25,rap,trap,0.781,0.567,117.042,0.324
Me Pagan,Aleman,49,Me Pagan,2019-11-19,rap,trap,0.874,0.274,147.072,0.0993
Deja Que Fluya,Lary Over,64,Deja Que Fluya,2019-07-26,rap,trap,0.629,0.586,171.649,0.065
Adelanto,Chris Wandell,46,Adelanto,2019-11-01,rap,trap,0.83,0.633,110.038,0.137
Cambio,Ozuna,72,Cambio,2019-06-25,rap,trap,0.548,0.542,174.043,0.0967
Peleamos Mañana,Jon Z,57,Peleamos Mañana,2019-09-13,rap,trap,0.743,0.695,133.95,0.105
Kemba Walker,Eladio Carrion,75,Kemba Walker,2019-08-06,rap,trap,0.832,0.59,146.939,0.123
Otro Round,Brytiago,57,Otro Round,2019-08-30,rap,trap,0.793,0.699,148.03,0.539
Hennessy,Neutro Shorty,61,Apokalypsis,2019-07-26,rap,trap,0.715,0.512,136.029,0.0823
El Proceso,HANSEL,37,El Proceso,2020-01-02,rap,trap,0.696,0.824,171.001,0.374
24H,Kidd Keo,69,24H,2019-11-29,rap,trap,0.939,0.686,96.99,0.114
Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),Paulo Londra,68,Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles),2019-05-14,rap,trap,0.86,0.697,129.978,0.159
ODIO,J Balvin,72,OASIS,2019-06-28,rap,trap,0.74,0.698,139.99,0.116
Camara Roll,Leebrian,48,Camara Roll,2019-01-22,rap,trap,0.845,0.636,125.962,0.123
Ven y Hazlo Tú,Nicky Jam,43,Ven y Hazlo Tú,2019-05-16,rap,trap,0.763,0.695,128.052,0.341
Por Ley,Anuel AA,65,Por Ley,2019-05-24,rap,trap,0.734,0.834,137.959,0.153
Los Que Son,Jamby el Favo,49,Los Que Son,2019-08-16,rap,trap,0.584,0.485,138.767,0.135
Estamos Arriba,Bad Bunny,72,Estamos Arriba,2019-06-14,rap,trap,0.853,0.818,149.839,0.18
Perdoname,Mora,63,Perdoname,2019-07-05,rap,trap,0.888,0.613,127.062,0.158
La Ocasión,DJ Luian,66,La Ocasión,2018-03-16,rap,trap,0.739,0.627,134.045,0.477
Encima De Mi,Rauw Alejandro,63,"Trap Cake, Vol. 1",2019-05-31,rap,trap,0.748,0.619,130.055,0.499
Solita,Ozuna,75,Solita,2018-01-19,rap,trap,0.807,0.633,138.038,0.107
El Día Que Muera,Ñejo,51,El Día Que Muera,2019-06-21,rap,trap,0.835,0.572,145.914,0.156
Loca Remix,Khea,15,Loca Remix,2018-03-15,rap,trap,0.795,0.751,113.033,0.0983
Feliz Año Nuevo 2,Ele A El Dominio,45,Feliz Año Nuevo 2,2019-12-30,rap,trap,0.754,0.376,81.022,0.162
Vuelva A Ver - Remix,Dalex,3,Vuelva A Ver (Remix),2019-03-28,rap,trap,0.704,0.592,159.872,0.802
Mi Llamada (Remix),Lyanno,63,Mi Llamada (Remix),2019-05-24,rap,trap,0.745,0.711,137.002,0.197
Dios Bendiga (Remix),Amenazzy,62,Dios Bendiga (Remix),2019-05-10,rap,trap,0.76,0.838,159.938,0.166
Bipolar,Chris Jeday,67,Bipolar,2018-03-07,rap,trap,0.8,0.693,152.081,0.123
LHNA (with Anuel AA),RobGz,68,LHNA (with Anuel AA),2019-06-21,rap,trap,0.86,0.731,137.001,0.113
DOOKOŁA BLOKÓW,Kabe,42,Albinos,2020-01-17,rap,trap,0.659,0.671,115,0.124
Wschód (lubię zapierdalać),Bedoes,67,Opowieści z Doliny Smoków,2019-11-29,rap,trap,0.612,0.683,143.094,0.626
flaga,chillwagon,60,chillwagon,2019-12-06,rap,trap,0.743,0.66,149.945,0.107
LO'REAL,TUZZA Globale,54,OGRODOWA 48,2019-12-19,rap,trap,0.837,0.816,85.03,0.124
Ptak,Deemz,61,Ptak,2019-12-16,rap,trap,0.784,0.755,145.066,0.276
NICKI,Trill Pem,66,NICKI,2019-08-08,rap,trap,0.789,0.525,137.006,0.0958
K4FLE!,Young Multi,57,TRAP AFTER DEATH,2019-12-06,rap,trap,0.862,0.744,146.044,0.0855
Brzydkie rzeczy,Bedoes,64,Brzydkie rzeczy,2019-11-17,rap,trap,0.715,0.592,155.986,0.153
Floyd Mayweather,Żabson,63,Floyd Mayweather,2019-09-30,rap,trap,0.709,0.74,174.11,0.268
Chemia,BLACHA,58,Chemia,2019-12-20,rap,trap,0.485,0.682,94.734,0.0754
Mitoman,Malik Montana,59,Mitoman,2019-12-09,rap,trap,0.616,0.635,149.975,0.282
PLIK,DZIARMA,56,PLIK,2019-12-12,rap,trap,0.797,0.455,120.054,0.105
Faza,Mr. Polska,53,Faza,2019-12-13,rap,trap,0.935,0.649,128.04,0.324
rower (joint lover),chillwagon,57,rower (joint lover),2019-12-04,rap,trap,0.766,0.703,136.043,0.0785
7,Be Vis,51,7,2019-12-19,rap,trap,0.77,0.631,74.976,0.0918
Mr.drip,Żabson,56,Internaziomal,2019-10-31,rap,trap,0.85,0.492,79.942,0.149
Trzy Butelki,White 2115,58,Trzy Butelki,2019-10-15,rap,trap,0.653,0.595,174.886,0.432
TORBA,Young Multi,49,TORBA,2019-12-01,rap,trap,0.853,0.721,131.121,0.633
tęczowy music box,chillwagon,59,tęczowy music box,2019-11-15,rap,trap,0.676,0.722,146.957,0.379
Inny Gatunek,Young Igi,55,Inny Gatunek,2019-10-23,rap,trap,0.842,0.574,139.942,0.0817
Mona Lisa (prod.Dio Mudara),Malik Montana,57,Mona Lisa (prod.Dio Mudara),2019-09-11,rap,trap,0.798,0.591,99.954,0.078
styl,Be Vis,53,styl,2019-11-10,rap,trap,0.828,0.559,116.678,0.126
1998 (mam to we krwi),Bedoes,65,1998 (mam to we krwi),2019-11-10,rap,trap,0.721,0.651,148.744,0.259
jolka,chillwagon,46,jolka,2019-09-17,rap,trap,0.784,0.785,149.935,0.153
Gwiazda,Mr. Polska,55,Gwiazda,2019-10-04,rap,trap,0.933,0.595,125.009,0.219
Skiety & Klapki - Remix,Kabe,62,Skiety & Klapki,2019-09-10,rap,trap,0.972,0.57,121.922,0.0952
YSL,Be Vis,50,YSL,2019-12-04,rap,trap,0.759,0.716,120.047,0.0968
Mata Montana,Mata,64,Mata Montana,2019-10-04,rap,trap,0.731,0.413,156.11,0.0666
Idealne Połączenie,Young Igi,56,Idealne Połączenie,2019-10-02,rap,trap,0.791,0.531,94.415,0.0898
Radość,Tymek,61,Radość,2019-09-06,rap,trap,0.632,0.696,155.941,0.338
Opowieści z Doliny Smoków,Bedoes,65,Opowieści z Doliny Smoków,2019-10-28,rap,trap,0.548,0.579,113.563,0.0857
BlaBlaCar (feat. Malik Montana),DMN,55,BlaBlaCar (feat. Malik Montana),2019-09-20,rap,trap,0.798,0.663,166.058,0.112
Mogę dziś umierać,White 2115,61,Mogę dziś umierać,2019-06-23,rap,trap,0.843,0.634,127.933,0.12
wowowo - remix,chillwagon,43,wowowo - remix,2019-08-26,rap,trap,0.649,0.659,144.075,0.119
Apollo,BLACHA,54,Apollo,2019-10-04,rap,trap,0.788,0.673,117.552,0.0634
HIGHEST IN THE ROOM,Travis Scott,94,HIGHEST IN THE ROOM,2019-10-04,rap,trap,0.598,0.427,76.469,0.21
VvsNike (Prod. Olek),Malik Montana,55,VvsNike (Prod. Olek),2019-09-18,rap,trap,0.837,0.43,80.984,0.1
Pamiętnik EX,Young Igi,53,Pamiętnik EX,2019-09-10,rap,trap,0.788,0.748,159.871,0.0833
Ucieknij ze mną,Żabson,52,Ucieknij ze mną,2019-09-10,rap,trap,0.708,0.7,170.017,0.123
Jesteś ładniejsza niż na zdjęciach (na zawsze),Bedoes,67,Jesteś ładniejsza niż na zdjęciach (na zawsze),2019-10-17,rap,trap,0.685,0.442,113.413,0.117
Toskania,Kizo,59,Toskania,2019-09-02,rap,trap,0.713,0.686,123.398,0.118
LECI NOWY FUTURE,Taco Hemingway,64,"POCZTÓWKA Z WWA, LATO '19",2019-07-24,rap,trap,0.713,0.769,150.027,0.296
SPORT,Zeamsone,54,SPORT,2019-08-23,rap,trap,0.722,0.508,158.108,0.102
Small Town Boy,Żabson,57,Small Town Boy,2019-08-26,rap,trap,0.75,0.828,103.099,0.313
hot coffee,schafter,63,hot coffee,2019-05-24,rap,trap,0.739,0.578,143.953,0.11
Chili Hot,Wac Toja,55,Chili Hot,2019-09-12,rap,trap,0.52,0.809,89.987,0.0654
@,chillwagon,46,@,2019-06-17,rap,trap,0.818,0.697,127.96,0.296
Kłapią Gębą,Tymek,58,Kłapią Gębą,2019-08-09,rap,trap,0.811,0.749,81.025,0.109
Pistolet (prod. by Abel de Jong),Mr. Polska,61,Pistolet (prod. by Abel de Jong),2019-07-19,rap,trap,0.896,0.772,125.995,0.346
Układanki,Young Igi,60,Układanki,2019-07-16,rap,trap,0.806,0.674,134.032,0.104
SenSei,Trill Pem,51,SenSei,2019-08-27,rap,trap,0.758,0.535,147.068,0.0881
Promienie Słońca,Young Igi,52,Promienie Słońca,2019-08-08,rap,trap,0.788,0.599,150.023,0.0613
Twister,Żabson,56,Twister,2019-08-08,rap,trap,0.631,0.8,119.281,0.0912
Rainman,Tymek,67,Rainman,2019-05-29,rap,trap,0.802,0.652,154.035,0.266
Sny z ulicy,Beteo,48,Sny z ulicy,2019-07-14,rap,trap,0.698,0.732,139.958,0.0943
Yakuza,Szymi Szyms,56,Yakuza,2019-06-28,rap,trap,0.775,0.605,150.03,0.165
"9 Żyć (feat. Otsochodzi, schafter & PlanBe)",Kubi Producent,51,"9 Żyć (feat. Otsochodzi, schafter & PlanBe)",2019-06-13,rap,trap,0.65,0.626,142.083,0.122
Jagodzianki (prod.by Abel de Jong),Malik Montana,62,Jagodzianki (prod.by Abel de Jong),2019-04-05,rap,trap,0.957,0.664,126.986,0.217
Pomarańczowe Niebo,BLACHA,52,FAMA,2019-06-28,rap,trap,0.742,0.625,109.877,0.245
Klubowa Suka,C0PIK,62,Klubowa Suka,2019-03-26,rap,trap,0.733,0.591,133.954,0.188
Surfer,Be Vis,65,Surfer,2018-05-17,rap,trap,0.832,0.535,120.008,0.246
Biblioteka Trap,Mata,64,Biblioteka Trap,2019-05-20,rap,trap,0.642,0.717,148.145,0.107
Mów,Otsochodzi,56,Mów,2019-05-10,rap,trap,0.679,0.673,143.675,0.246
Sikam Szampan,Mr. Polska,56,Sikam Szampan,2019-05-22,rap,trap,0.933,0.763,130.031,0.109
Bonnie & Clyde,BLACHA,48,Bonnie & Clyde,2019-05-10,rap,trap,0.758,0.627,96.87,0.115
Pure Water (with Migos),Mustard,31,Pure Water (with Migos),2019-01-16,rap,trap,0.68,0.559,202.006,0.318
Oznaka Mężczyzn,Young Igi,47,Oznaka Mężczyzn,2019-03-07,rap,trap,0.766,0.614,155.992,0.147
Panini,Lil Nas X,13,Panini,2019-06-20,rap,trap,0.703,0.594,153.848,0.123
7 5 0,Malik Montana,56,7 5 0,2019-05-15,rap,trap,0.777,0.509,161.939,0.172
Poza Kontrolą,Tymek,56,Poza Kontrolą,2019-02-07,rap,trap,0.805,0.418,126.009,0.0765
Ghetto Flex,Kabe,53,Ghetto Flex,2019-04-16,rap,trap,0.796,0.699,140.014,0.265
Worldwide,Otsochodzi,45,Worldwide,2018-12-12,rap,trap,0.79,0.63,144.983,0.121
candy.doll,schafter,59,hors d'oeuvre,2018-10-31,rap,trap,0.717,0.599,81.027,0.0594
"Bad Boy (feat. Beteo, ReTo & Siles)",Kubi Producent,55,"Bad Boy (feat. Beteo, ReTo & Siles)",2018-12-20,rap,trap,0.732,0.71,96.967,0.092
Robię Yeah (prod.by FRNKIE),K Koke,57,Robię Yeah (prod.by FRNKIE),2019-01-24,rap,trap,0.718,0.556,93.96,0.337
Sezon,Otsochodzi,54,Miłość,2019-02-01,rap,trap,0.805,0.568,140.023,0.096
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,82,TESTING,2018-05-25,rap,trap,0.85,0.569,80.02,0.1
Dvd,Mlodyskiny,55,Dvd,2018-07-29,rap,trap,0.821,0.49,85.013,0.0964
San Andreas,Zeamsone,54,777,2018-09-28,rap,trap,0.593,0.867,159.966,0.107
Bestia,Young Igi,48,Bestia,2018-09-21,rap,trap,0.496,0.468,94.034,0.107
Porsche,Kukon,55,Piękny ból,2018-09-08,rap,trap,0.703,0.644,131.999,0.0882
Euforia,Otsochodzi,45,Euforia,2018-09-17,rap,trap,0.761,0.777,142.116,0.129
